cartodb_id,the_geom,city,state,shape_1,duration,summary,posted,month,country,date_time,cartodb_georef_status
43,0101000020E61000005ABBED42737752C0B84082E2C76C4440,Bronx,NY,,,UFO over Bronx.,2015-10-29,October,USA,2015-10-24,true
169,0101000020E61000005BB6D61709C063C03333333333733540,Mililani,HI,Light,,Five to six bright lights seen west coast off Oahu.,2015-07-17,July,USA,2015-07-11,true
5929,0101000020E6100000A56B26DF6C1954C0DDEA39E97DA33B40,Vero Beach,FL,Fireball,5 minutes,Large ball/orb with a tail.,2015-03-06,March,USA,2015-03-01,true
223,0101000020E61000003602F1BA7EAF52C0991249F4327E4440,Andover,NJ,Light,20 minutes,Bright Orange Plasma Lights.,2015-09-17,September,USA,2015-09-13,true
372,0101000020E610000030D80DDB161353C0740CC85EEF6A4240,Portsmouth,VA,Circle,90 seconds,"Orange light in northern sky, April 12th, 2015 at 10pm EST in Portsmouth, Virginia.",2015-04-17,April,USA,2015-04-12,true
416,0101000020E6100000CAE02879759857C0BFF1B56796744340,Lee's Summit,MO,Sphere,10-15 seconds,Sphere.,2016-01-05,December,USA,2015-12-30,true
679,0101000020E61000008750A5660F6E55C0BE9F1A2FDD384140,Fort Payne,AL,Light,20 minutes,"Red light seen moving slowly left,right and rapidly vertically up and down.",2015-11-19,November,USA,2015-11-16,true
905,0101000020E61000000EBE30992A3452C040F67AF7C7A34440,Branford,CT,Circle,1 second,Yellow streak falls into structure for split second,2015-11-26,November,USA,2015-11-21,true
1005,0101000020E61000002F8B89CDC7C153C0F60B76C3B6514540,Angola,NY,Cigar,1 hour and counting,"15/20 blue, cigar-shaped, craft hover silently and strobed blue on the length of the crafts. Multiple witnesses.",2016-01-05,December,USA,2015-12-24,true
1556,0101000020E61000008386FE092E545EC0DDCD531D72074640,Bend,OR,Oval,1 hour,Oval shaped crafted with three colored lights.,2015-10-16,October,USA,2015-10-09,true
1968,0101000020E6100000C6BFCFB870005CC080828B1535284440,Eagle Mountain,UT,Unknown,1 second,E.T. in orb form?,2015-10-16,September,USA,2015-09-03,true
2305,0101000020E61000007F30F0DC7BD851C08655BC9179F04440,Pawtucket,RI,Formation,20 min,Orange lights ufo seen In Rhode Island.,2015-09-29,September,USA,2015-09-26,true
2435,0101000020E6100000F1BA7EC16E525EC07155D97745604340,Roseville,CA,Sphere,45 minutes,Stationary object spotted in Roseville (Day Sighting).,2015-10-29,September,USA,2015-09-15,true
2778,0101000020E6100000BE4D7FF623EF54C068226C787A214040,Unadilla,GA,Circle,15 seconds,"I saw pulsing, big!! bright white light moving south very fast.",2015-08-13,August,USA,2015-08-11,true
