Date	Sightings
1/1/2015	53
1/2/2015	15
1/3/2015	15
1/4/2015	7
1/5/2015	13
1/6/2015	10
1/7/2015	15
1/8/2015	20
1/9/2015	18
1/10/2015	20
1/11/2015	23
1/12/2015	12
1/13/2015	12
1/14/2015	9
1/15/2015	18
1/16/2015	20
1/17/2015	23
1/18/2015	19
1/19/2015	19
1/20/2015	13
1/21/2015	11
1/22/2015	10
1/23/2015	15
1/24/2015	15
1/25/2015	11
1/26/2015	14
1/27/2015	15
1/28/2015	18
1/29/2015	14
1/30/2015	12
1/31/2015	17
2/1/2015	14
2/2/2015	10
2/3/2015	18
2/4/2015	9
2/5/2015	16
2/6/2015	16
2/7/2015	11
2/8/2015	15
2/9/2015	7
2/10/2015	11
2/11/2015	18
2/12/2015	12
2/13/2015	5
2/14/2015	9
2/15/2015	16
2/16/2015	4
2/17/2015	14
2/18/2015	15
2/19/2015	8
2/20/2015	9
2/21/2015	13
2/22/2015	8
2/23/2015	19
2/24/2015	11
2/25/2015	10
2/26/2015	9
2/27/2015	6
2/28/2015	9
3/1/2015	11
3/2/2015	8
3/3/2015	7
3/4/2015	9
3/5/2015	15
3/6/2015	25
3/7/2015	14
3/8/2015	20
3/9/2015	13
3/10/2015	7
3/11/2015	22
3/12/2015	33
3/13/2015	15
3/14/2015	20
3/15/2015	21
3/16/2015	16
3/17/2015	18
3/18/2015	18
3/19/2015	10
3/20/2015	14
3/21/2015	22
3/22/2015	10
3/23/2015	12
3/24/2015	13
3/25/2015	11
3/26/2015	6
3/27/2015	17
3/28/2015	19
3/29/2015	9
3/30/2015	10
3/31/2015	13
4/1/2015	22
4/2/2015	12
4/3/2015	18
4/4/2015	17
4/5/2015	19
4/6/2015	11
4/7/2015	10
4/8/2015	8
4/9/2015	7
4/10/2015	12
4/11/2015	27
4/12/2015	24
4/13/2015	6
4/14/2015	13
4/15/2015	19
4/16/2015	15
4/17/2015	15
4/18/2015	24
4/19/2015	14
4/20/2015	8
4/21/2015	6
4/22/2015	18
4/23/2015	15
4/24/2015	12
4/25/2015	11
4/26/2015	17
4/27/2015	10
4/28/2015	14
4/29/2015	4
4/30/2015	10
5/1/2015	32
5/2/2015	21
5/3/2015	13
5/4/2015	4
5/5/2015	7
5/6/2015	17
5/7/2015	16
5/8/2015	19
5/9/2015	19
5/10/2015	19
5/11/2015	10
5/12/2015	12
5/13/2015	14
5/14/2015	6
5/15/2015	13
5/16/2015	7
5/17/2015	19
5/18/2015	10
5/19/2015	14
5/20/2015	7
5/21/2015	12
5/22/2015	13
5/23/2015	19
5/24/2015	27
5/25/2015	10
5/26/2015	9
5/27/2015	12
5/28/2015	16
5/29/2015	14
5/30/2015	27
5/31/2015	5
6/1/2015	16
6/2/2015	10
6/3/2015	13
6/4/2015	13
6/5/2015	21
6/6/2015	18
6/7/2015	19
6/8/2015	19
6/9/2015	8
6/10/2015	16
6/11/2015	14
6/12/2015	13
6/13/2015	23
6/14/2015	15
6/15/2015	12
6/16/2015	10
6/17/2015	13
6/18/2015	14
6/19/2015	20
6/20/2015	16
6/21/2015	13
6/22/2015	29
6/23/2015	17
6/24/2015	9
6/25/2015	11
6/26/2015	15
6/27/2015	11
6/28/2015	11
6/29/2015	31
6/30/2015	13
7/1/2015	23
7/2/2015	21
7/3/2015	31
7/4/2015	170
7/5/2015	20
7/6/2015	5
7/7/2015	6
7/8/2015	10
7/9/2015	14
7/10/2015	15
7/11/2015	36
7/12/2015	22
7/13/2015	11
7/14/2015	15
7/15/2015	12
7/16/2015	17
7/17/2015	15
7/18/2015	17
7/19/2015	13
7/20/2015	19
7/21/2015	13
7/22/2015	20
7/23/2015	16
7/24/2015	27
7/25/2015	18
7/26/2015	15
7/27/2015	13
7/28/2015	12
7/29/2015	13
7/30/2015	14
7/31/2015	38
8/1/2015	24
8/2/2015	20
8/3/2015	23
8/4/2015	18
8/5/2015	29
8/6/2015	13
8/7/2015	16
8/8/2015	32
8/9/2015	31
8/10/2015	17
8/11/2015	16
8/12/2015	30
8/13/2015	24
8/14/2015	14
8/15/2015	31
8/16/2015	13
8/17/2015	14
8/18/2015	13
8/19/2015	17
8/20/2015	15
8/21/2015	17
8/22/2015	34
8/23/2015	17
8/24/2015	13
8/25/2015	19
8/26/2015	16
8/27/2015	15
8/28/2015	12
8/29/2015	22
8/30/2015	10
8/31/2015	8
9/1/2015	13
9/2/2015	15
9/3/2015	10
9/4/2015	13
9/5/2015	30
9/6/2015	48
9/7/2015	10
9/8/2015	29
9/9/2015	18
9/10/2015	13
9/11/2015	24
9/12/2015	33
9/13/2015	26
9/14/2015	24
9/15/2015	21
9/16/2015	19
9/17/2015	29
9/18/2015	26
9/19/2015	33
9/20/2015	16
